name,category,description
canDeleteCampaigns,Campaign,
canViewCustomers,Customer,May view customer lists
canEditCustomers,Customer,May edit customers in the user's usesCustomers relationship
canCreateCustomers,Customer,Can create new customers
canFetchAllCustomers,Customer,over-rides the usesCustomers relationship. Global for SLUSA. All PL customers for PL user.
canDeleteCustomers,Customer,
canViewLocations,Location,
canEditLocations,Location,
canCreateLocations,Location,
canDeleteLocations,Location,
canFetchAllLocations,Location,Locations sidemenu item
canViewAllMediaTemplates,MediaTemplate,Graphic designer and admin global MediaTemplates view
canCreateMediaTemplates,MediaTemplate,"email, postcard templates, etc."
canViewMediaTemplates,MediaTemplate,
canDeleteMediaTemplates,MediaTemplate,
canEditMediaTemplates,MediaTemplate,
